08:57:32 INFO  manager.ApplicationManager - All tests start in Chrome
08:57:35 INFO  tests.TestBase - start to test method ->>createResume
08:57:35 INFO  manager.MyListener - start search for element with locator->>By.xpath: //span[.='create CV']
08:57:35 INFO  manager.MyListener - element with locator->> By.xpath: //span[.='create CV'] was found
08:57:35 INFO  manager.MyListener - start search for element with locator->>By.xpath: (//div[@class='cover'])[1]
08:57:36 INFO  manager.MyListener - element with locator->> By.xpath: (//div[@class='cover'])[1] was found
08:57:36 INFO  manager.MyListener - start search for element with locator->>By.id: name
08:57:37 INFO  manager.MyListener - element with locator->> By.id: name was found
08:57:37 INFO  manager.MyListener - start search for element with locator->>By.id: position
08:57:37 INFO  manager.MyListener - element with locator->> By.id: position was found
08:57:37 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[@aria-label='Open calendar']
08:57:37 INFO  manager.MyListener - element with locator->> By.xpath: //*[@aria-label='Open calendar'] was found
08:57:37 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: button[aria-label='Choose month and year']
08:57:37 INFO  manager.MyListener - element with locator->> By.cssSelector: button[aria-label='Choose month and year'] was found
08:57:37 INFO  tests.TestBase - end to test method ->>createResume
